oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Huawei,P30 Pro New Edition,"2020, May 12","Available. Released 2020, June 01",158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in),192 g (6.77 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm (~88.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Android 10, EMUI 10.1, Google Play Services"
Huawei,MatePad T8,"2020, May 07","Available. Released Exp. release 2020, May 19",199.7 x 121.1 x 8.6 mm (7.86 x 4.77 x 0.34 in),310 g (10.93 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm (~76.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Accelerometer,"Android 10, EMUI 10, no Google Play Services"
Huawei,Y8s,"2020, May 6","Available. Released 2020, May 21",162.4 x 77.1 x 8.1 mm (6.39 x 3.04 x 0.32 in),180 g (6.35 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm (~82.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie), EMUI 9.1, Google Play Services"
Huawei,Y6p,"2020, May 05","Available. Released 2020, May 06",159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185 g (6.53 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 95.8 cm (~81.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~278 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10, EMUI 10.1, no Google Play Services"
Huawei,Y5p,"2020, May 05","Available. Released 2020, May 06",146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in),144 g (5.08 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm (~73.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Accelerometer, proximity","Android 10, EMUI 10.1, no Google Play Services"
Huawei,P smart 2020,"2020, April 29","Available. Released 2020, May 8",155.2 x 73.4 x 8 mm (6.11 x 2.89 x 0.31 in),160 g (5.64 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.21 inches, 94.7 cm (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie), EMUI 9.1, Google Play Services"
Huawei,nova 7 Pro 5G,"2020, April 23","Available. Released 2020, April 28",160.4 x 73.7 x 8 mm (6.31 x 2.90 x 0.31 in),178 g (6.28 oz),"Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.57 inches, 106.0 cm (~89.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, EMUI 10, no Google Play Services"
Huawei,nova 7 5G,"2020, April 23","Available. Released 2020, April 28",160.6 x 74.3 x 8 mm (6.32 x 2.93 x 0.31 in),180 g (6.35 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.53 inches, 102.9 cm (~86.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, EMUI 10.1, no Google Play Services"
Huawei,nova 7 SE,"2020, April 23","Available. Released 2020, April 28",162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),189 g (6.67 oz),"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm (~83.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, EMUI 10.1, no Google Play Services"
Huawei,MatePad,"2020, April 23","Available. Released 2020, April 28",245.2 x 155 x 7.4 mm (9.65 x 6.10 x 0.29 in),450 g (0.99 lb),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.4 inches, 307.9 cm (~81.0% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Accelerometer, gyro, proximity, compass","Android 10, EMUI 10, no Google Play Services"
Huawei,Watch GT 2e,"2020, March 26","Available. Released 2020, April 20",53 x 46.8 x 10.8 mm (2.09 x 1.84 x 0.43 in),43 g (1.52 oz),No,"AMOLED capacitive touchscreen, 16M colors","1.39 inches, 12.5 cm (~50.5% screen-to-body ratio)","454 x 454 pixels, 1:1 ratio (~326 ppi density)","Accelerometer, gyro, heart rate, barometer, compass, SpO2",Huawei wearable platform
Huawei,P40 Pro+,"2020, March 26","Available. Released 2020, June 06",158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in),226 g (7.97 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.58 inches, 105.2 cm (~91.6% screen-to-body ratio)",1200 x 2640 pixels (~441 ppi density),"Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Android 10, EMUI 10.1, no Google Play Services"
Huawei,P40 Pro,"2020, March 26","Available. Released 2020, April 07",158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in),209 g (7.37 oz),"Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.58 inches, 105.2 cm (~91.6% screen-to-body ratio)",1200 x 2640 pixels (~441 ppi density),"Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Android 10, EMUI 10.1, no Google Play Services"
Huawei,P40,"2020, March 26","Available. Released 2020, April 07",148.9 x 71.1 x 8.5 mm (5.86 x 2.80 x 0.33 in),175 g (6.17 oz),"Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm (~86.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)","Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Android 10, EMUI 10.1, no Google Play Services"
Huawei,P40 lite E,"2020, March 04","Available. Released 2020, March 12",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie), EMUI 9, no Google Play Services"
Huawei,P40 lite,"2020, February 27","Available. Released 2020, March 02",159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),183 g (6.46 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm (~83.5% screen-to-body ratio)",1080 x 2310 pixels (~398 ppi density),"Fingerprint (side-mounted), accelerometer, proximity, compass","Android 10, EMUI 10, no Google Play Services"
Huawei,MatePad Pro 5G,"2020, February 24","Available. Released 2020, May 27",246 x 159 x 7.2 mm (9.69 x 6.26 x 0.28 in),460 g (1.01 lb),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.8 inches, 338.2 cm (~86.5% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~280 ppi density)","Accelerometer, gyro, proximity, compass","Android 10, EMUI 10, no Google Play Services"
Huawei,Mate Xs,"2020, February 24","Available. Released 2020, March 05",Unfolded: 161.3 x 146.2 x 5.4 mmFolded: 161.3 x 78.5 x 11 mm,300 g (10.58 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Foldable OLED capacitive touchscreen, 16M colors","8.0 inches, 205.0 cm (~86.9% screen-to-body ratio)",2200 x 2480 pixels (~414 ppi density),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","Android 10, EMUI 10, no Google Play Services"
Huawei,P30 lite New Edition,"2020, January 14","Available. Released 2020, January 14",152.9 x 72.7 x 7.4 mm (6.02 x 2.86 x 0.29 in),152.9 g (5.40 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.15 inches, 93.6 cm (~84.2% screen-to-body ratio)",1080 x 2312 pixels (~415 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,Y7p,"2020, February 07","Available. Released 2020, February 07",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie), EMUI 9, no Google Play Services"
Huawei,nova 7i,"2020, January 30","Available. Released 2020, February 14",159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),183 g (6.46 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm (~83.5% screen-to-body ratio)",1080 x 2310 pixels (~398 ppi density),"Fingerprint (side-mounted), accelerometer, proximity, compass","Android 10, EMUI 10, no Google Play Services"
Huawei,Y6s (2019),"2020, January 30","Available. Released 2020, May",156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm (~79.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9.0 (Pie), EMUI 9.1"
Huawei,P smart Pro 2019,"2019, December","Available. Released 2019, December",163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),206 g (7.27 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm (~84.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,nova 6 5G,"2019, December","Available. Released 2019, December",162.7 x 75.8 x 9 mm (6.41 x 2.98 x 0.35 in),212 g (7.48 oz),"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, EMUI 10"
Huawei,nova 6,"2019, December","Available. Released 2019, December",162.6 x 75.7 x 8.6 mm (6.40 x 2.98 x 0.34 in),197 g (6.95 oz),"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~84.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, EMUI 10, no Google Play Services"
Huawei,nova 6 SE,"2019, December","Available. Released 2019, December",159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),183 g (6.46 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm (~83.5% screen-to-body ratio)",1080 x 2310 pixels (~398 ppi density),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 10, EMUI 10, no Google Play Services"
Huawei,MatePad Pro,"2019, November 25","Available. Released 2019, December 12",246 x 159 x 7.2 mm (9.69 x 6.26 x 0.28 in),460 g (1.01 lb),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.8 inches, 338.2 cm (~86.5% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~280 ppi density)","Accelerometer, gyro, proximity, compass","Android 10, EMUI 10, no Google Play Services"
Huawei,Y9s,"2019, November 08","Available. Released 2019, November 08",163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),206 g (7.27 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm (~84.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,nova 5z,"2019, October","Available. Released 2019, November",156.1 x 73.9 x 8.3 mm (6.15 x 2.91 x 0.33 in),178 g (6.28 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 96.2 cm (~83.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,Enjoy 10s,"2019, October 28","Available. Released 2019, November",157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),163 g (5.75 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.3 inches, 95.8 cm (~83.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~418 ppi density)","Fingerprint (under display, optical), accelerometer, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,Enjoy 10,"2019, October","Available. Released 2019, November",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Accelerometer, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,Mate 30 RS Porsche Design,"2019, September","Available. Released 2019, November",158.1 x 73.1 x 9.3 mm (6.22 x 2.88 x 0.37 in),198 g (6.98 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.53 inches, 108.7 cm (~94.1% screen-to-body ratio)","1176 x 2400 pixels, 18.5:9 ratio (~409 ppi density)","Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass","Android 10, EMUI 10"
Huawei,Mate 30 Pro 5G,"2019, September 19","Available. Released 2019, October 23",158.1 x 73.1 x 8.8 mm (6.22 x 2.88 x 0.35 in),198 g (6.98 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.53 inches, 108.7 cm (~94.1% screen-to-body ratio)","1176 x 2400 pixels, 18.5:9 ratio (~409 ppi density)","Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass","Android 10, EMUI 10"
Huawei,Mate 30 Pro,"2019, September 19","Available. Released 2019, September 26",158.1 x 73.1 x 8.8 mm (6.22 x 2.88 x 0.35 in),198 g (6.98 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.53 inches, 108.7 cm (~94.1% screen-to-body ratio)","1176 x 2400 pixels, 18.5:9 ratio (~409 ppi density)","Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass","Android 10, EMUI 10"
Huawei,Mate 30 5G,"2019, September","Available. Released 2019, October",160.8 x 76.1 x 8.4 mm (6.33 x 3.00 x 0.33 in),196 g (6.91 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.62 inches, 107.6 cm (~87.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~389 ppi density)","Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass","Android 10, EMUI 10"
Huawei,Mate 30,"2019, September","Available. Released 2019, September",160.8 x 76.1 x 8.4 mm (6.33 x 3.00 x 0.33 in),196 g (6.91 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.62 inches, 107.6 cm (~87.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~389 ppi density)","Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass","Android 10, EMUI 10"
Huawei,Watch GT 2,"2019, September","Available. Released 2019, October",45.9 x 45.9 x 10.7 mm (1.81 x 1.81 x 0.42 in),41 g (1.45 oz),No,"OLED capacitive touchscreen, 16M colors","1.39 inches, 12.5 cm (~59.4% screen-to-body ratio)","454 x 454 pixels, 1:1 ratio (~326 ppi density)","Accelerometer, gyro, heart rate, barometer, compass",Huawei wearable platform
Huawei,nova 5i Pro,"2019, July","Available. Released 2019, July",156.1 x 73.9 x 8.3 mm (6.15 x 2.91 x 0.33 in),178 g (6.28 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 96.2 cm (~83.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,Enjoy 10 Plus,"2019, September","Available. Released 2019, September",163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),163.5 g (5.78 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,nova 5T,"2019, August 27","Available. Released 2019, September 05",154.3 x 74 x 7.8 mm (6.07 x 2.91 x 0.31 in),174 g (6.14 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 96.2 cm (~84.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, EMUI 10"
Huawei,MediaPad M6 10.8,"2019, June","Available. Released 2019, July 10",257 x 170 x 7.2 mm (10.12 x 6.69 x 0.28 in),498 g (1.10 lb),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.8 inches, 338.2 cm (~77.4% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~280 ppi density)","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,MediaPad M6 Turbo 8.4,"2019, September","Available. Released 2019, September",206.4 x 125.2 x 8.2 mm (8.13 x 4.93 x 0.32 in),340 g (11.99 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.4 inches, 204.6 cm (~79.2% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~359 ppi density)","Accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,MediaPad M6 8.4,"2019, June","Available. Released 2019, July",206.4 x 125.2 x 7.4 mm (8.13 x 4.93 x 0.29 in),320 g (11.29 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.4 inches, 204.6 cm (~79.2% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~359 ppi density)","Accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,nova 5 Pro,"2019, June","Available. Released 2019, June",157.4 x 74.8 x 7.3 mm (6.20 x 2.94 x 0.29 in),171 g (6.03 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~85.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,nova 5,"2019, June","Available. Released 2019, June",157.4 x 74.8 x 7.3 mm (6.20 x 2.94 x 0.29 in),171 g (6.03 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~85.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,nova 5i,"2019, June","Available. Released 2019, June",159.1 x 75.9 x 8.3 mm (6.26 x 2.99 x 0.33 in),178 g (6.28 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm (~84.0% screen-to-body ratio)",1080 x 2310 pixels (~398 ppi density),"Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie), EMUI 9.1"
Huawei,Y9 Prime (2019),"2019, August 01","Available. Released 2019, August 05",163.5 x 77.3 x 8.9 mm (6.44 x 3.04 x 0.35 in),196.8 g (6.95 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10, Magic UI 2.1"
